date,headline,ticker
2019-01-19,Tesla Stock Tanked After Elon Musk Said He’d Lay Off Thousands - Barron's,TSLA
2019-01-14,Better Buy: Ford Motor vs. Tesla - The Motley Fool,TSLA
2019-01-07,Tesla Pushes Past Doubters and Breaks Ground in China - thestreet.com,TSLA
2019-01-24,Millennials are snapping up Tesla after its layoffs - Business Insider,TSLA
2019-01-18,"Tesla Slumps After Cutting 3,000 Jobs as Musk Sees ‘Difficult’ Road Ahead - bloomberg.com",TSLA
2019-01-26,Do Tesla Supercharging rates cost more than gas? - Fox Business,TSLA
2019-01-22,3 Battery Stocks Positioned to Power Portfolio Gains - Yahoo Finance,TSLA
2019-01-08,Tesla’s Independent Director Larry Ellison Admits He Owns More Than $1 Billion in $TSLA Stock - The Drive,TSLA
2019-01-02,Tesla: Growing Faster as It Gets Bigger? - The Motley Fool,TSLA
2019-01-02,Tesla's Deliveries Miss Spells More Pressure to Mass-Produce a Cheaper Model 3 - thestreet.com,TSLA
2019-01-11,Are New Tesla Model S and X Variants on the Way? - The Motley Fool,TSLA
2019-01-17,Ford Motor Company's 2019 Guidance: Uncertainty - The Motley Fool,TSLA
2019-01-24,"Tesla Model S Police Car To Hit The Road, Will Save Thousands In Gas - warriortradingnews.com",TSLA
2019-02-02,Is Tesla a Buy? - The Motley Fool,TSLA
2019-02-23,Who's Buying or Selling Tesla Inc (TSLA) Stock Today? - GuruFocus,TSLA
2019-02-28,"Musk Pledges Belt-Tightening as Tesla Cuts Prices, Warns of Loss - bloomberg.com",TSLA
2019-02-20,Timeline: The mass exodus of Tesla execs in the last 12 months - Yahoo Finance,TSLA
2019-02-04,"Maxwell Technologies Announces Definitive Merger Agreement with Tesla, Inc. - PR Newswire",TSLA
2019-02-19,Tesla's Elon Musk: Full self-driving technology nearly complete - Fox Business,TSLA
2019-02-20,Kandi Races Higher As Chinese Electric Automaker Gears Up For American Sales - Investor's Business Daily,TSLA
2019-02-22,Tesla Responds to Consumer Reports - The Motley Fool,TSLA
2019-02-15,Billionaire Stanley Druckenmiller placed bet against Tesla during fourth quarter - Yahoo Finance UK,TSLA
2019-02-28,Tesla (TSLA) Halts Online Vehicle Orders Ahead of Announcement - bloomberg.com,TSLA
2019-02-27,Meet Elon Tusk: Tesla chief changes Twitter display name - Yahoo Finance UK,TSLA
2019-02-02,Why Shares of General Motors Rose 16.7% in January - The Motley Fool,TSLA
2019-02-14,Better Buy: Ford Motor vs. BMW AG - The Motley Fool,TSLA
2019-02-21,Is This Beaten-Down Lithium Growth Stock a Buy After Last Week’s 46% Drop? - ca.finance.yahoo.com,TSLA
2019-02-26,ElectraMeccanica banks on three-wheeled EV for future - ca.finance.yahoo.com,TSLA
2019-02-03,Which Royalty Company Is the Best Income Stock? - ca.finance.yahoo.com,TSLA
2019-02-22,Reagan’s Top Economist Warns Investors Should Flee Stock Market - ca.finance.yahoo.com,TSLA
2019-02-20,Does Image Scan Holdings plc’s (LON:IGE) CEO Pay Compare Well With Peers? - Yahoo,TSLA
2019-02-15,Google sister company Alphabet wants a cut of Toronto taxes - ca.finance.yahoo.com,TSLA
2019-03-01,The Tesla Model 3 will be a great car — someday - Yahoo Finance,TSLA
2019-03-13,Elon Musk Set to Unveil a New Tesla for the Masses—the Model Y SUV - WSJ,TSLA
2019-03-05,Tesla Sell-Off Worsens After Elon Musk's Surprise Store Closings - bloomberg.com,TSLA
2019-03-06,Tesla’s Troubles Mount: Shuttered Showrooms and Sinking Shares (Published 2019) - The New York Times,TSLA
2019-03-02,Tesla Inc (TSLA) Stock Holders - Institutional & Insider Ownership - GuruFocus,TSLA
2019-03-26,Who Are Tesla's Lithium Suppliers? - The Motley Fool,TSLA
2019-03-03,Tesla's Latest Gamble Is a Risky — But Potentially Worthwhile — One - thestreet.com,TSLA
2019-03-21,"Tesla, GM, and Lear Look Like Good Bets on the Future of Transportation - Barron's",TSLA
2019-03-11,Tesla is buying car-hauling trucks and trailers using $13 million in TSLA shares - Electrek,TSLA
2019-03-22,Tesla Accuses Billionaire’s Engineer of Stealing Tech Secrets - bloomberg.com,TSLA
2019-03-05,"Aurora now top pot pick at Cowen, dethroning Canopy Growth - ca.finance.yahoo.com",TSLA
2019-03-06,Honda's Little Electric Car Is Headed to Production This Fall - The Motley Fool,TSLA
2019-04-04,Tesla shares sink on poor deliveries — Watch four experts break down what's next for Elon Musk and the company - CNBC,TSLA
2019-04-26,Tesla CEO Elon Musk Reaches an Agreement With the SEC - The Motley Fool,TSLA
2019-04-12,"Tesla Ends Online Sales of $35,000 Model 3, Creating New Hurdle for Buyers (Published 2019) - The New York Times",TSLA
2019-04-24,Tesla CEO Elon Musk Says He’s Selling Insurance and Wishes Tesla Was Private - Barron's,TSLA
2019-04-04,Elon Musk says he's 'very happy' after judge orders settlement negotiations with SEC - Yahoo Finance,TSLA
2019-04-22,Elon Musk: All Tesla Cars Produced Now Are Capable of Full Self-Driving - thestreet.com,TSLA
